wave,errs,data
5336.799999999999,433991.70830513473,-18736.88037109375
5337.199999999999,432239.07276359998,-16147.0830078125
5337.6,420858.52121426235,-2404.403076171875
5338.0,53560.194406217866,-7520.97705078125
5338.4,75829.779926662595,-5958.380126953125
5338.8,34002.312191361831,-10079.4755859375
5339.2,21846.6577639561,-7156.8416748046875
5339.599999999999,246325.60275801804,-6617.8172607421875
5340.0,11854.72087962468,-9936.7650146484375
5340.4,22322.368553816999,-5889.0405883789062
5340.799999999999,22260.844494770303,-9212.383544921875
5341.2,29223.666461497345,-4730.3788452148438
5341.599999999999,61469.46664030484,-4034.519287109375
5341.999999999999,49199.842862589772,-6096.9690551757812
5342.399999999999,48198.187304981526,-7971.4482727050781
5342.799999999999,45752.760934160491,-1763.6849365234375
5343.199999999999,2079745.8919770878,-8710.166259765625
5343.5999999999985,225556.53010439529,-8901.543212890625
5344.0,325733.00485564279,-7301.96484375
5344.4,321025.3795604895,-5676.311767578125
5344.799999999999,330594.78028995852,-3787.8828125
5345.2,1440549.284878206,-4527.1271362304688
5345.599999999999,177987.92012096205,-8204.13134765625
5345.999999999999,77829.652255835535,-9192.834228515625
5346.4,61407.808910226922,-7796.6244506835938
5346.799999999999,74312.530562458836,-7683.632568359375
5347.199999999999,27415.034180862418,-5978.9324951171875
5347.6,7507.6142355511374,-6412.719970703125
5348.0,49474.996788237018,-5912.655517578125
5348.4,304913.18261054682,-7461.758056640625
5348.8,306580.64367946767,-7462.3228759765625
5349.2,81065.33422121375,-8056.5426025390625
5349.599999999999,25289.031962442543,-6094.930908203125
5350.0,9568.9663608019873,-5315.8455810546875
5350.4,48593.739092333548,-3858.2025756835938
5350.799999999999,49350.246512169775,-7154.8489990234375
5351.2,507293.22956660623,-4241.2791748046875
5351.599999999999,505219.42790602974,-5657.446533203125
5351.999999999999,332869.92984706257,-4913.705322265625
5352.399999999999,277514.18951821106,-5845.3604736328125
5352.799999999999,56576.723999089969,-4695.8560180664062
5353.199999999999,51938.815935422252,-5223.3753662109375
5353.5999999999985,110576.3145090761,-2490.5398559570312
5354.0,106777.74224782092,-5084.598388671875
5354.4,35613777.705146879,-4268.2904663085938
5354.799999999999,106011.16669674381,-2505.8053588867188
5355.2,103403.62670207808,-5826.8479614257812
5355.599999999999,180313.99827941682,-4269.40185546875
5355.999999999999,143878.71026833155,-4746.9581298828125
5356.4,161392.99161608482,-5161.6104125976562
5356.799999999999,155836.74894289242,-5994.5230712890625
5357.199999999999,224019.62943543206,-4261.1881103515625
5357.6,223457.50298533231,-3948.0021362304688
5358.0,239078.68190261751,-4148.7620849609375
5358.4,26601.487214102999,-4062.1758422851562
5358.8,16906.03767991795,-6096.5325927734375
5359.2,15399.735252952021,-3986.5394287109375
5359.599999999999,9550.1635498304149,-2003.7232151031494
5360.0,7780.6502613698867,-3302.3370361328125
5360.4,12048.834614280015,-4225.7223510742188
5360.799999999999,7420.4362993863533,-3600.7274169921875
5361.2,50042.493750607129,-3457.3590698242188
5361.599999999999,48380.462419704672,-1215.9092102050781
5361.999999999999,82338.958119620977,-4455.5414428710938
5362.399999999999,69108.710513619939,-4416.7141723632812
5362.799999999999,47895.625788086902,-3171.932861328125
5363.199999999999,28196.945422558045,-4562.1062622070312
5363.5999999999985,47023594.232316606,-2408.6806030273438
5364.0,13599.980107358522,-3972.4263916015625
5364.4,2248952.9793402841,-4327.565673828125
5364.799999999999,2252386.7604997153,-1483.3858032226562
5365.2,3193059.8544383622,-4144.3321533203125
5365.599999999999,3191054.1968836635,-1737.4603881835938
5365.999999999999,229641.50274714685,-4112.8971557617188
5366.4,228213.53922377178,-4750.6976318359375
5366.799999999999,340098.50557446177,-3289.433837890625
